"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"30994      ","PRIME H610I-PLUS D4-CSM","Материнская плата ASUS PRIME H610I-PLUS D4-CSM LGA1700 2xDDR4 4xSATA3 D-Sub HDMI DP mITX",">50","51,015","3 года","10","","Ссылка"
"30645      ","PRIME H610M-R D4-SI","Материнская плата ASUS PRIME H610M-R D4-SI, LGA1700 2xDDR4 4xSATA3 M.2 D-Sub DVI mATX",">50","35,711","3 года","10","","Ссылка"
"29657      ","PRIME Z690-A","Материнская плата ASUS PRIME Z690-A, LGA1700 4xDDR5 4xSATA3 Raid 4xM.2 HDMI DP ATX",">50","116,350","3 года","10","","Ссылка"
"29625      ","PRIME Z690-P D4","Материнская плата ASUS PRIME Z690-P D4, LGA1700 4xDDR4 4xSATA3 Raid 3xM.2 HDMI DP ATX","39","89,500","3 года","10","","Ссылка"
"29639      ","PRIME Z690-P WIFI D4","Материнская плата ASUS PRIME Z690-P WIFI D4, LGA1700 4xDDR4 4xSATA3 Raid 3xM.2 HDMI DP ATX","40","101,135","3 года","10","","Ссылка"
"29624      ","PRIME Z690-P","Материнская плата ASUS PRIME Z690-P, LGA1700 4xDDR5 4xSATA3 Raid 3xM.2 HDMI DP ATX","26","102,030","3 года","10","","Ссылка"
"29638      ","ROG STRIX B660-F GAMING WIFI","Материнская плата ASUS ROG STRIX B660-F GAMING WIFI, LGA1700 4xDDR5 4xSATA3 RAID 3xM.2 HDMI DP ATX","15","110,980","3 года","10","","Ссылка"
"30672      ","ROG STRIX B660-G GAMING WIFI","Материнская плата ASUS ROG STRIX B660-G GAMING WIFI, LGA1700 4xDDR5 4xSATA3 RAID 2xM.2 HDMI DP ATX","37","93,536","3 года","10","","Ссылка"
"30652      ","ROG STRIX Z690-A GAMING WIFI","Материнская плата ASUS ROG STRIX Z690-A GAMING WIFI LGA1700 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX","33","163,785","3 года","10","","Ссылка"
"29648      ","TUF GAMING B660-PLUS WIFI D4","Материнская плата ASUS TUF GAMING B660-PLUS WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 3xM.2 HDMI DP ATX","10","87,263","3 года","10","","Ссылка"
"29656      ","TUF GAMING B660M-PLUS D4","Материнская плата ASUS TUF GAMING B660M-PLUS D4, LGA1700 4xDDR4 4xSATA3 RAID 2xM.2 HDMI DP mATX",">50","72,495","3 года","10","","Ссылка"
"30677      ","TUF GAMING B660M-PLUS WIFI","Материнская плата ASUS TUF GAMING B660M-PLUS WIFI, LGA1700 4xDDR5 4xSATA3 RAID 2xM.2 HDMI DP mATX","50","88,605","3 года","10","","Ссылка"
"29483      ","TUF GAMING Z690-PLUS D4","Материнская плата ASUS TUF GAMING Z690-PLUS D4, LGA1700 4xDDR4 4xSATA3 4xM.2 1xHDMI 1xDP ATX","31","126,195","3 года","10","","Ссылка"
"30649      ","TUF GAMING Z690-PLUS WIFI D4","Материнская плата ASUS TUF GAMING Z690-PLUS WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP ATX","25","129,775","3 года","10","","Ссылка"
"Socket 1700 (13,12 серия CPU)","","","","","","","",""
"30034      ","PRIME B660M-A D4","Материнская плата ASUS PRIME B660M-A D4, LGA1700 4xDDR4 4xSATA3 2xM.2 RAID 2xHDMI DP mATX",">50","56,385","3 года","10","","Ссылка"
"30035      ","PRIME B660M-A WIFI D4","Материнская плата ASUS PRIME B660M-A WIFI D4, LGA1700 4xDDR4 4xSATA3 2xM.2 RAID 2xHDMI DP mATX",">50","73,748","3 года","10","","Ссылка"
"29650      ","PRIME B660M-K D4","Материнская плата ASUS PRIME B660M-K D4, LGA1700 2xDDR4 4xSATA3 2xM.2 RAID D-Sub HDMI DP mATX",">50","50,120","3 года","10","","Ссылка"
"31756      ","PRIME B760M-A D4","Материнская плата ASUS PRIME B760M-A D4, LGA1700 4xDDR4 4xSATA3 2xM.2 RAID 2xHDMI DP mATX","39","69,363","3 года","10","","Ссылка"
"31759      ","PRIME B760M-A WIFI D4","Материнская плата ASUS PRIME B760M-A WIFI D4, LGA1700 4xDDR4 4xSATA3 2xM.2 RAID 2xHDMI DP mATX","40","74,285","3 года","10","","Ссылка"
"31769      ","PRIME B760M-K D4","Материнская плата ASUS PRIME B760M-K D4, LGA1700 2xDDR4 4xSATA3 2xM.2 RAID VGA HDMI mATX","40","58,891","3 года","10","","Ссылка"
"29640      ","PRIME H610M-A D4","Материнская плата ASUS PRIME H610M-A D4, LGA1700 2xDDR4 4xSATA3 2xM.2 D-Sub HDMI DP mATX",">50","43,184","3 года","10","","Ссылка"
"30671      ","PRIME H610M-A WIFI D4","Материнская плата ASUS PRIME H610M-A WIFI D4, LGA1700 2xDDR4 4xSATA3 2xM.2 D-Sub HDMI DP mATX",">50","51,015","3 года","10","","Ссылка"
"29655      ","PRIME H610M-D D4","Материнская плата ASUS PRIME H610M-D D4, LGA1700 2xDDR4 4xSATA3 M.2 D-Sub HDMI mATX",">50","44,750","3 года","10","","Ссылка"
"29630      ","PRIME H610M-E D4","Материнская плата ASUS PRIME H610M-E D4, LGA1700 2xDDR4 4xSATA3 2xM.2 D-Sub HDMI DP mATX",">50","43,855","3 года","10","","Ссылка"
"29652      ","PRIME H610M-K D4","Материнская плата ASUS PRIME H610M-K D4, LGA1700 2xDDR4 4xSATA3 M.2 D-Sub HDMI mATX",">50","37,993","3 года","10","","Ссылка"
"29632      ","PRIME H670-PLUS D4","Материнская плата ASUS PRIME H670-PLUS D4, LGA1700 4xDDR4 4xSATA3 3xM.2 RAID HDMI DP ATX",">50","65,559","3 года","10","","Ссылка"
"31753      ","PRIME H770-PLUS D4","Материнская плата ASUS PRIME H770-PLUS D4, LGA1700 4xDDR4 4xSATA3 3xM.2 RAID HDMI DP ATX",">50","80,326","3 года","10","","Ссылка"
"29651      ","PRIME Z690-P WIFI","Материнская плата ASUS PRIME Z690-P WIFI, LGA1700 4xDDR5 4xSATA3 RAID 3xM.2 HDMI DP ATX",">50","101,583","3 года","10","","Ссылка"
"31324      ","PRIME Z790-A WIFI","Материнская плата ASUS PRIME Z790-A WIFI, LGA1700 4xDDR5 4xSATA3 Raid 4xM.2 HDMI DP ATX","44","142,305","3 года","10","","Ссылка"
"31670      ","PRIME Z790-P D4","Материнская плата ASUS PRIME Z790-P D4 LGA1700 4xDDR4 4xSATA3 Raid 3xM.2 HDMI DP ATX","32","103,373","3 года","10","","Ссылка"
"31414      ","PRIME Z790-P","Материнская плата ASUS PRIME Z790-P LGA1700 4xDDR5 4xSATA3 Raid 3xM.2 HDMI DP ATX","42","109,638","3 года","10","","Ссылка"
"31675      ","PRIME Z790-P WIFI D4","Материнская плата ASUS PRIME Z790-P WIFI D4 LGA1700 4xDDR4 4xSATA3 Raid 3xM.2 HDMI DP ATX","33","108,743","3 года","10","","Ссылка"
"31416      ","PRIME Z790-P WIFI","Материнская плата ASUS PRIME Z790-P WIFI LGA1700 4xDDR5 4xSATA3 Raid 3xM.2 HDMI DP ATX","20","115,008","3 года","10","","Ссылка"
"30676      ","PROART B660-CREATOR D4","Материнская плата ASUS PROART B660-CREATOR D4 LGA1700 4xDDR4 4xSATA3 3xM.2 RAID HDMI DP ATX","14","100,688","3 года","10","","Ссылка"
"31892      ","PROART B760-CREATOR D4","Материнская плата ASUS PROART B760-CREATOR D4 LGA1700 4xDDR4 4xSATA3 3xM.2 RAID HDMI DP ATX","8","105,163","3 года","10","","PROART B760-CREATOR D4"
"31422      ","PROART Z690-CREATOR WIFI","Материнская плата ASUS PROART Z690-CREATOR WIFI LGA1700 4xDDR5 8xSATA3 4xM.2 RAID HDMI 2xIntel Thunderbolt 4 ports (USB Type-C) ATX","7","230,463","3 года","10","","Ссылка"
"31898      ","PROART Z790-CREATOR WIFI","Материнская плата ASUS PROART Z790-CREATOR WIFI, LGA1700 4xDDR5 8xSATA3 RAID 4xM.2 HDMI DP TB ATX","5","236,728","3 года","10","","Ссылка"
"30664      ","ROG MAXIMUS Z690 EXTREME GLACIAL","Материнская плата ASUS ROG MAXIMUS Z690 EXTREME GLACIAL LGA1700 Z690 4xDDR5 6xSATA3 RAID 5xM.2 ATX","7","920,955","3 года","5","","Ссылка"
"30666      ","ROG MAXIMUS Z690 EXTREME","Материнская плата ASUS ROG MAXIMUS Z690 EXTREME LGA1700 Z690 4xDDR5 6xSATA3 RAID 5xM.2 ATX","8","501,200","3 года","5","","Ссылка"
"29628      ","ROG MAXIMUS Z690 FORMULA","Материнская плата ASUS ROG MAXIMUS Z690 FORMULA, LGA1700 Z690, 4xDDR5, 6xSATA3, 5xM.2, 1xMarvell® 10Gb Ethernet, Wi-Fi 6E, 12xUSB, ATX","4","325,780","3 года","5","","Ссылка"
"30868      ","ROG MAXIMUS Z690 HERO EVA","Материнская плата ASUS ROG MAXIMUS Z690 HERO EVA, LGA1700 Z690, 4xDDR5, 6xSATA3, 5xM.2, 1xHDMI, 2xThunderbolt™4, 2xPCIe5.0x16, 1xPCIe4.0x16 ATX","8","272,975","3 года","5","","ROG MAXIMUS Z690 HERO EVA"
"29636      ","ROG MAXIMUS Z690 HERO","Материнская плата ASUS ROG MAXIMUS Z690 HERO, LGA1700 Z690, 4xDDR5, 6xSATA3, 5xM.2, 1xHDMI, 2xThunderbolt™4, 2xPCIe5.0x16, 1xPCIe4.0x16 ATX","10","277,450","3 года","5","","Ссылка"
"31421      ","ROG MAXIMUS Z790 EXTREME","Материнская плата ASUS ROG MAXIMUS Z790 EXTREME LGA1700 Z690 4xDDR5 6xSATA3 RAID 3xM.2 HDMI 2xIntel Thunderbolt 4 ports (USB Type-C) ATX","3","501,200","3 года","5","","Ссылка"
"31321      ","ROG MAXIMUS Z790 HERO","Материнская плата ASUS ROG MAXIMUS Z790 HERO, LGA1700 Z790, 4xDDR5, 6xSATA3, 5xM.2, 1xHDMI, 2xThunderbolt™4, 2xPCIe5.0x16, 1xPCIe4.0x16 ATX","15","297,140","3 года","5","","Ссылка"
"29633      ","ROG STRIX B660-A GAMING WIFI D4","Материнская плата ASUS ROG STRIX B660-A GAMING WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 3xM.2 HDMI DP ATX",">50","98,898","3 года","10","","Ссылка"
"31166      ","ROG STRIX B660-A GAMING WIFI","Материнская плата ASUS ROG STRIX B660-A GAMING WIFI LGA1700 4xDDR5 4xSATA3 RAID 3xM.2 HDMI DP ATX",">50","103,373","3 года","10","","Ссылка"
"31897      ","ROG STRIX B760-A GAMING WIFI D4","Материнская плата ASUS ROG STRIX B760-A GAMING WIFI D4 LGA1700 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP ATX","8","104,715","3 года","10","","ROG STRIX B760-A GAMING WIFI D4"
"31896      ","ROG STRIX B760-F GAMING WIFI","Материнская плата ASUS ROG STRIX B760-F GAMING WIFI LGA1700 4xDDR5 4xSATA3 3xM.2 RAID HDMI DP ATX","8","127,985","3 года","10","","ROG STRIX B760-F GAMING WIFI"
"31893      ","ROG STRIX B760-G GAMING WIFI D4","Материнская плата ASUS ROG STRIX B760-G GAMING WIFI D4 LGA1700 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP ATX","10","96,884","3 года","10","","ROG STRIX B760-G GAMING WIFI D4"
"31895      ","ROG STRIX B760-I GAMING WIFI","Материнская плата ASUS ROG STRIX B760-I GAMING WIFI LGA1700 2xDDR5 4xSATA3 2xM.2 RAID HDMI DP m-ATX","11","98,450","3 года","10","","ROG STRIX B760-I GAMING WIFI"
"29629      ","ROG STRIX Z690-A GAMING WIFI D4","Материнская плата ASUS ROG STRIX Z690-A GAMING WIFI D4, LGA1700 4xDDR4 6xSATA3 RAID 4xM.2 HDMI DP ATX","6","161,995","3 года","10","","Ссылка"
"29645      ","ROG STRIX Z690-E GAMING WIFI","Материнская плата ASUS ROG STRIX Z690-E GAMING WIFI, LGA1700 4xDDR5 6xSATA3 RAID 3xM.2 HDMI DP ATX","26","230,463","3 года","10","","Ссылка"
"29654      ","ROG STRIX Z690-F GAMING WIFI","Материнская плата ASUS ROG STRIX Z690-F GAMING WIFI, LGA1700 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX","11","196,139","3 года","10","","Ссылка"
"29647      ","ROG STRIX Z690-G GAMING WIFI","Материнская плата ASUS ROG STRIX Z690-G GAMING WIFI, LGA1700 4xDDR5 6xSATA3 RAID 3xM.2 HDMI DP ATX","17","150,808","3 года","10","","Ссылка"
"29643      ","ROG STRIX Z690-I GAMING WIFI","Материнская плата ASUS ROG STRIX Z690-I GAMING WIFI, LGA1700 2xDDR5 4xSATA3 RAID 2xM.2 HDMI 2xThunderbolt 4 ports M-ITX","33","182,580","3 года","10","","Ссылка"
"31322      ","ROG STRIX Z790-A GAMING WIFI D4","Материнская плата ASUS ROG STRIX Z790-A GAMING WIFI D4, LGA1700 4xDDR4 6xSATA3 RAID 4xM.2 HDMI DP ATX","16","174,525","3 года","10","","Ссылка"
"31770      ","ROG STRIX Z790-A GAMING WIFI","Материнская плата ASUS ROG STRIX Z790-A GAMING WIFI, LGA1700 4xDDR5 4xSATA3 RAID 4xM.2 HDMI DP ATX","5","187,950","3 года","10","","Ссылка"
"31323      ","ROG STRIX Z790-E GAMING WIFI","Материнская плата ASUS ROG STRIX Z790-E GAMING WIFI, LGA1700 4xDDR5 4xSATA3 RAID 5xM.2 HDMI DP ATX","20","245,230","3 года","10","","Ссылка"
"31325      ","ROG STRIX Z790-F GAMING WIFI","Материнская плата ASUS ROG STRIX Z790-F GAMING WIFI, LGA1700 4xDDR5 4xSATA3 RAID 4xM.2 HDMI DP ATX","7","210,325","3 года","10","","Ссылка"
"31760      ","ROG STRIX Z790-I GAMING WIFI","Материнская плата ASUS ROG STRIX Z790-I GAMING WIFI, LGA1700 2xDDR5 2xSATA3 RAID 2xM.2 HDMI M-ITX","15","211,220","3 года","10","","Ссылка"
"29641      ","TUF GAMING B660M-E D4","Материнская плата ASUS TUF GAMING B660M-E D4, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP mATX","37","67,349","3 года","10","","Ссылка"
"29644      ","TUF GAMING B660M-PLUS WIFI D4","Материнская плата ASUS TUF GAMING B660M-PLUS WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 2xM.2 HDMI DP mATX",">50","78,313","3 года","10","","Ссылка"
"31902      ","TUF GAMING B760-PLUS WIFI D4","Материнская плата ASUS TUF GAMING B760-PLUS WIFI D4 LGA1700 4xDDR4 4xSATA3 3xM.2 RAID HDMI DP ATX","40","91,738","3 года","10","","TUF GAMING B760-PLUS WIFI D4"
"31899      ","TUF GAMING B760M-PLUS D4","Материнская плата ASUS TUF GAMING B760M-PLUS D4 LGA1700 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP mATX","40","83,459","3 года","10","","TUF GAMING B760M-PLUS D4"
"31900      ","TUF GAMING B760M-PLUS WIFI D4","Материнская плата ASUS TUF GAMING B760M-PLUS WIFI D4 LGA1700 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP mATX","39","84,130","3 года","10","","TUF GAMING B760M-PLUS WIFI D4"
"29653      ","TUF GAMING H670-PRO WIFI D4","Материнская плата ASUS TUF GAMING H670-PRO WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP ATX","40","94,870","3 года","10","","Ссылка"
"31901      ","TUF GAMING H770-PRO WIFI","Материнская плата ASUS TUF GAMING H770-PRO WIFI, LGA1700 4xDDR5 4xSATA3 3xM.2 RAID HDMI DP ATX","30","100,240","3 года","10","","TUF GAMING H770-PRO WIFI"
"30674      ","TUF GAMING Z690-PLUS","Материнская плата ASUS TUF GAMING Z690-PLUS LGA1700 4xDDR5 4xSATA3 RAID 4xM.2 HDMI DP ATX","39","133,803","3 года","10","","Ссылка"
"30650      ","TUF GAMING Z690-PLUS WIFI","Материнская плата ASUS TUF GAMING Z690-PLUS WIFI, LGA1700 4xDDR5 4xSATA3 RAID 4xM.2 HDMI DP ATX","19","126,195","3 года","10","","Ссылка"
"31669      ","TUF GAMING Z790-PLUS D4","Материнская плата ASUS TUF GAMING Z790-PLUS D4, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP ATX","8","142,305","3 года","10","","Ссылка"
"31328      ","TUF GAMING Z790-PLUS WIFI D4","Материнская плата ASUS TUF GAMING Z790-PLUS WIFI D4, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP ATX","8","139,620","3 года","10","","Ссылка"
"31903      ","TUF GAMING Z790-PLUS WIFI","Материнская плата ASUS TUF GAMING Z790-PLUS WIFI, LGA1700 4xDDR4 4xSATA3 RAID 4xM.2 HDMI DP ATX","19","136,488","3 года","10","","TUF GAMING Z790-PLUS WIFI"
"Socket AM4","","","","","","","",""
"21303      ","PRIME A320M-A","Материнская плата ASUS PRIME A320M-A AMD AM4  A320 4xDDR4 Max. 64Gb, DDR4 2666/2400/2133 MHz 6xSATA3 1xM.2 1xDVI 1xHDMI 1xDP 1xPCIe3.0x16 2xPCIe2.01x SuMulti-VGA output support : HDMI/DVI/RGB ports 4xUSB3.1 2xUSB2.0 mATX",">50","33,563","3 года","10","","Ссылка"
"29011      ","PRIME B450M-A II","Материнская плата ASUS PRIME B450M-A II AM4 4xDDR4 4xSATA3 RAID 1xM.2 D-Sub DVI-D HDMI mATX",">50","35,800","3 года","10","","Ссылка"
"25416      ","PRIME B550M-K","Материнская плата ASUS PRIME B550M-K  AM4 4xDDR4 4xSATA3 RAID 2xM.2 DVI-D D-Sub HDMI mATX",">50","46,540","3 года","10","","Ссылка"
"22984      ","PRIME X570-P","Геймерская Материнская плата ASUS PRIME X570-P AMD AM4, 4xDDR4(4400MHz), 6xSATA3, RAID, 2xM.2, 3xPCI-Ex4.0x1, 3-PCI-E4.0x16, 1xHDMI, 1xDP, 8xUSB3.2, 1xPS/2, 1xGLAN, ATX","15","85,025","3 года","10","","Ссылка"
"30651      ","PROART B550-CREATOR","Материнская плата ASUS PROART B550-CREATOR AM4 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP ATX","9","115,455","3 года","10","","Ссылка"
"30647      ","PROART X570-CREATOR WIFI","Материнская плата ASUS PROART X570-CREATOR WIFI AM4 4xDDR4 6xSATA3 3xM.2 RAID HDMI DP ATX","4","192,425","3 года","10","","Ссылка"
"31426      ","ROG CROSSHAIR VIII EXTREME","Материнская плата ASUS ROG CROSSHAIR VIII EXTREME AM4 4xDDR4 6xSATA RAID 5xM.2 2xIntel Thunderbolt 4 ports (USB Type-C) ATX","4","344,575","3 года","5","","Ссылка"
"25086      ","ROG CROSSHAIR VIII FORMULA","Материнская плата ASUS ROG CROSSHAIR VIII FORMULA AM4 AMD X570 4xDDR4 8xSATA Raid 3xM.2 12xUSB3.2 WiFi RGB ATX","15","257,313","3 года","5","","Ссылка"
"25428      ","ROG CROSSHAIR VIII HERO(WI-FI)","Материнская плата ASUS ROG CROSSHAIR VIII HERO(WI-FI) X570 AM4 4xDDR4 8xSATA RAID 3xM.2 10xUSB3.2 ATX","30","196,900","3 года","5","","Ссылка"
"25417      ","ROG CROSSHAIR VIII IMPACT","Геймерская Материнская плата ASUS ROG CROSSHAIR VIII IMPACT, X570, AM4, 2xDDR4 SO-DIMM, 4xSATA Raid, 2xM.2, 1xPCIe4.0, Wi-Fi , AURA, 203×170мм, Mini-DTX","3","112,725","3 года","5","","Ссылка"
"30032      ","ROG STRIX B550-A GAMING","Материнская плата ASUS ROG STRIX B550-A GAMING AM4 4xDDR4 6xSATA3 Raid 2xM.2 HDMI DP ATX","36","76,970","3 года","10","","Ссылка"
"25423      ","ROG STRIX B550-E GAMING","Материнская плата ASUS ROG STRIX B550-E GAMING AM4 4xDDR4 6xSATA3 Raid 2xM.2 HDMI DP ATX","1","111,875","3 года","10","","Ссылка"
"25132      ","ROG STRIX B550-F GAMING","Материнская плата ASUS ROG STRIX B550-F GAMING AM4 4xDDR4 6xSATA3 Raid M.2 HDMI DP ATX","45","82,788","3 года","10","","ROG STRIX B550-F GAMING"
"30036      ","ROG STRIX B550-F GAMING WIFI II","Материнская плата ASUS ROG STRIX B550-F GAMING WIFI II AM4 4xDDR4 6xSATA3 Raid 2xM.2 HDMI DP ATX","48","88,605","3 года","10","","Ссылка"
"31155      ","ROG STRIX B550-XE GAMING WIFI","Материнская плата ASUS ROG STRIX B550-XE GAMING WIFI AM4 4xDDR4 6xSATA3 Raid 2xM.2 HDMI DP ATX","12","132,013","3 года","10","","Ссылка"
"25425      ","ROG STRIX X570-I GAMING","Материнская плата ASUS ROG STRIX X570-I GAMING AMD AM4 2xDDR4 4xSATA 3xM.2 RAID DP HDMI M-ITX","15","140,515","3 года","10","","Ссылка"
"25458      ","TUF GAMING A520M-PLUS","Материнская плата ASUS TUF GAMING A520M-PLUS AMD A520 AM4 4xDDR4 4xSATA3 RAID M.2 DSub DVI HDMI mATX","20","38,485","5 лет","10","","Ссылка"
"30663      ","TUF GAMING A520M-PLUS WIFI","Материнская плата ASUS TUF GAMING A520M-PLUS WIFI AM4 4xDDR4 4xSATA3 RAID M.2 D-Sub HDMI DP mATX","8","44,016","5 лет","10","","Ссылка"
"27496      ","TUF GAMING B450-PLUS II","Материнская плата ASUS TUF GAMING B450-PLUS II AMD B450 AM4 4xDDR4 4xSATA3 1xM.2 RAID HDMI DP ATX",">50","55,490","3 года","10","","Ссылка"
"26457      ","TUF GAMING B450M-PLUS II","Материнская плата ASUS TUF GAMING B450M-PLUS II AMD B450 AM4 4xDDR4 4xSATA3 2xM.2 RAID HDMI DVI mATX","16","46,093","3 года","10","","Ссылка"
"26463      ","TUF GAMING B450M-PRO II","Материнская плата ASUS TUF GAMING B450M-PRO II AMD B450 AM4 4xDDR4 4xSATA3 2xM.2 RAID DP HDMI mATX","40","50,120","3 года","10","","Ссылка"
"25424      ","TUF GAMING B450M-PRO S","Материнская плата ASUS TUF GAMING B450M-PRO S AMD B450 AM4 4xDDR4 4xSATA3 3xM.2 RAID DP HDMI mATX",">50","55,043","3 года","10","","Ссылка"
"25133      ","TUF GAMING B550-PLUS","Материнская плата ASUS TUF GAMING B550-PLUS AMD B550 AM4 4xDDR4  6xSATA3 RAID DP HDMI ATX","5","67,125","5 лет","10","","TUF GAMING B550-PLUS"
"30681      ","TUF GAMING B550M-E","Материнская плата ASUS TUF GAMING B550M-E AMD B550 AM4 4xDDR4 4xSATA3 2xM.2 D-Sub HDMI DP mATX","40","59,965","5 лет","10","","Ссылка"
"30667      ","TUF GAMING B550M-E WIFI","Материнская плата ASUS TUF GAMING B550M-E WIFI AMD B550 AM4 4xDDR4 4xSATA3 RAID 2xM.2 D-Sub HDMI DP mATX","14","63,098","5 лет","10","","Ссылка"
"25414      ","TUF GAMING B550M-PLUS","Материнская плата ASUS TUF GAMING B550M-PLUS AMD B550 AM4 4xDDR4 4xSATA3 2xM.2 RAID HDMI DP mATX ","17","63,545","5 лет","10","","TUF GAMING B550M-PLUS"
"22590      ","TUF GAMING X570-PLUS (WI-FI)","Геймерская Материнская плата ASUS TUF GAMING X570-PLUS (WI-FI),  AM4, 4xDDR4(4400MHz), 8xSATA3 Raid, 2xM.2, 2xPCIe4.0x16, 2xPCIe4.0 x1, 1xHDMI 1xDP, 1xPS/2, 7xUSB3.2, WiFi Модуль, ATX","16","108,393","5 лет","10","","Ссылка"
"25415      ","TUF GAMING X570-PLUS","Геймерская Материнская плата ASUS TUF GAMING X570-PLUS,  AM4, 4xDDR4(4400MHz), 8xSATA3 Raid, 2xM.2, 2xPCIe4.0x16, 2xPCIe4.0 x1, 1xHDMI 1xDP, 1xPS/2, 7xUSB3.2, WiFi Модуль, ATX","3","102,925","3 года","10","","Ссылка"
"Socket AM5","","","","","","","",""
"31683      ","PRIME B650-PLUS","Материнская плата ASUS PRIME B650-PLUS AM5 4xDDR5 4xSATA 2xM.2 HDMI DP ATX","48","88,605","3 года","10","","Ссылка"
"31755      ","PRIME B650M-A WIFI","Материнская плата ASUS PRIME B650M-A WIFI AM5 4xDDR5 4xSATA3 RAID 2xM.2 VGA HDMI DP mATX","45","88,605","3 года","10","","Ссылка"
"31754      ","PRIME X670-P","Материнская плата ASUS PRIME X670-P AM5 4xDDR5 6xSATA3 3xM.2 HDMI DP ATX","26","119,930","3 года","10","","Ссылка"
"31676      ","PRIME X670-P WIFI","Материнская плата ASUS PRIME X670-P WIFI AM5 4xDDR5 6xSATA3 3xM.2 HDMI DP ATX","20","128,433","3 года","10","","Ссылка"
"31697      ","PRIME X670E-PRO WIFI","Материнская плата ASUS PRIME X670E-PRO WIFI AM5 4xDDR5 4xSATA3 RAID 4xM.2 HDMI DP ATX","22","157,073","3 года","10","","Ссылка"
"31894      ","PROART B650-CREATOR","Материнская плата ASUS PROART B650-CREATOR AM5 4xDDR5 4xSATA3 RAID 3xM.2 DP HDMI ATX","8","143,200","3 года","10","","Ссылка"
"31750      ","ROG CROSSHAIR X670E EXTREME","Материнская плата ASUS ROG CROSSHAIR X670E EXTREME AM5 4xDDR5 6xSATA Raid 5xM.2 10xUSB3.2 E-ATX","8","402,750","3 года","5","","Ссылка"
"31161      ","ROG CROSSHAIR X670E GENE","Материнская плата ASUS ROG CROSSHAIR X670E GENE AM5 2xDDR5 4xSATA Raid M.2 6xUSB3.2 ATX","11","260,311","3 года","5","","ROG CROSSHAIR X670E GENE"
"31154      ","ROG CROSSHAIR X670E HERO","Материнская плата ASUS ROG CROSSHAIR X670E HERO AM5 4xDDR5 6xSATA Raid 4xM.2 10xUSB3.2 ATX","11","280,135","3 года","5","","ROG CROSSHAIR X670E HERO"
"31415      ","ROG STRIX B650-A GAMING WIFI","Материнская плата ASUS ROG STRIX B650-A GAMING WIFI AM5 4xDDR5 4xSATA3 Raid 3xM.2 HDMI DP ATX","20","123,286","3 года","10","","Ссылка"
"31408      ","ROG STRIX B650E-E GAMING WIFI","Материнская плата ASUS ROG STRIX B650E-E GAMING WIFI AM5 4xDDR5 4xSATA3 Raid 4xM.2 HDMI DP ATX",">50","157,386","3 года","10","","Ссылка"
"31407      ","ROG STRIX B650E-F GAMING WIFI","Материнская плата ASUS ROG STRIX B650E-F GAMING WIFI AM5 4xDDR5 4xSATA3 Raid 3xM.2 HDMI DP ATX","17","134,250","3 года","10","","Ссылка"
"31326      ","ROG STRIX X670E-E GAMING WIFI","Материнская плата ASUS ROG STRIX X670E-E GAMING WIFI AM5 4xDDR5 4xSATA RAID 4xM.2 DP HDMI ATX","7","217,933","3 года","10","","Ссылка"
"31677      ","ROG STRIX X670E-F GAMING WIFI","Материнская плата ASUS ROG STRIX X670E-F GAMING WIFI AM5 4xDDR5 4xSATA RAID 4xM.2 HDMI DP ATX","8","184,370","3 года","10","","Ссылка"
"31424      ","ROG STRIX X670E-I GAMING WIFI","Материнская плата ASUS ROG STRIX X670E-I GAMING WIFI AM5 2xDDR5 2xSATA RAID 2xM.2 HDMI 2xUSB Type-C mATX","20","204,955","3 года","10","","Ссылка"
"31417      ","TUF GAMING B650-PLUS","Материнская плата ASUS TUF GAMING B650-PLUS AM5 4xDDR5 4xSATA3 RAID 3xM.2 DP HDMI ATX","34","100,151","3 года","10","","Ссылка"
"31777      ","TUF GAMING B650-PLUS WIFI","Материнская плата ASUS TUF GAMING B650-PLUS WIFI AM5 4xDDR5 4xSATA3 RAID 3xM.2 DP HDMI ATX","36","105,610","3 года","10","","Ссылка"
